S [mg/L],K_S [mg/L],mu [h^-1],mu_max [h^-1]
0.0,100,0.0,0.5
10.0,100,0.045454545454545456,0.5
20.0,100,0.08333333333333333,0.5
30.0,100,0.11538461538461539,0.5
40.0,100,0.14285714285714285,0.5
50.0,100,0.16666666666666666,0.5
60.0,100,0.1875,0.5
70.0,100,0.20588235294117646,0.5
80.0,100,0.2222222222222222,0.5
90.0,100,0.23684210526315788,0.5
100.0,100,0.25,0.5
110.0,100,0.2619047619047619,0.5
120.0,100,0.2727272727272727,0.5
130.0,100,0.2826086956521739,0.5
140.0,100,0.2916666666666667,0.5
150.0,100,0.3,0.5
160.0,100,0.3076923076923077,0.5
170.0,100,0.3148148148148148,0.5
180.0,100,0.32142857142857145,0.5
190.0,100,0.3275862068965517,0.5
200.0,100,0.3333333333333333,0.5
210.0,100,0.3387096774193548,0.5
220.0,100,0.34375,0.5
230.0,100,0.3484848484848485,0.5
240.0,100,0.35294117647058826,0.5
250.0,100,0.35714285714285715,0.5
260.0,100,0.3611111111111111,0.5
270.0,100,0.36486486486486486,0.5
280.0,100,0.3684210526315789,0.5
290.0,100,0.3717948717948718,0.5
300.0,100,0.375,0.5
310.0,100,0.3780487804878049,0.5
320.0,100,0.38095238095238093,0.5
330.0,100,0.38372093023255816,0.5
340.0,100,0.38636363636363635,0.5
350.0,100,0.3888888888888889,0.5
360.0,100,0.391304347826087,0.5
370.0,100,0.39361702127659576,0.5
380.0,100,0.3958333333333333,0.5
390.0,100,0.3979591836734694,0.5
400.0,100,0.4,0.5
410.0,100,0.4019607843137255,0.5
420.0,100,0.40384615384615385,0.5
430.0,100,0.4056603773584906,0.5
440.0,100,0.4074074074074074,0.5
450.0,100,0.4090909090909091,0.5
460.0,100,0.4107142857142857,0.5
470.0,100,0.41228070175438597,0.5
480.0,100,0.41379310344827586,0.5
490.0,100,0.4152542372881356,0.5
500.0,100,0.4166666666666667,0.5
510.0,100,0.4180327868852459,0.5
520.0,100,0.41935483870967744,0.5
530.0,100,0.42063492063492064,0.5
540.0,100,0.421875,0.5
550.0,100,0.4230769230769231,0.5
560.0,100,0.42424242424242425,0.5
570.0,100,0.4253731343283582,0.5
580.0,100,0.4264705882352941,0.5
590.0,100,0.427536231884058,0.5
600.0,100,0.42857142857142855,0.5
610.0,100,0.4295774647887324,0.5
620.0,100,0.4305555555555556,0.5
630.0,100,0.4315068493150685,0.5
640.0,100,0.43243243243243246,0.5
650.0,100,0.43333333333333335,0.5
660.0,100,0.4342105263157895,0.5
670.0,100,0.43506493506493504,0.5
680.0,100,0.4358974358974359,0.5
690.0,100,0.43670886075949367,0.5
700.0,100,0.4375,0.5
710.0,100,0.4382716049382716,0.5
720.0,100,0.43902439024390244,0.5
730.0,100,0.4397590361445783,0.5
740.0,100,0.44047619047619047,0.5
750.0,100,0.4411764705882353,0.5
760.0,100,0.4418604651162791,0.5
770.0,100,0.4425287356321839,0.5
780.0,100,0.4431818181818182,0.5
790.0,100,0.4438202247191011,0.5
800.0,100,0.4444444444444444,0.5
810.0,100,0.44505494505494503,0.5
820.0,100,0.44565217391304346,0.5
830.0,100,0.44623655913978494,0.5
840.0,100,0.44680851063829785,0.5
850.0,100,0.4473684210526316,0.5
860.0,100,0.4479166666666667,0.5
870.0,100,0.4484536082474227,0.5
880.0,100,0.4489795918367347,0.5
890.0,100,0.4494949494949495,0.5
900.0,100,0.45,0.5
910.0,100,0.4504950495049505,0.5
920.0,100,0.45098039215686275,0.5
930.0,100,0.45145631067961167,0.5
940.0,100,0.4519230769230769,0.5
950.0,100,0.4523809523809524,0.5
960.0,100,0.4528301886792453,0.5
970.0,100,0.4532710280373832,0.5
980.0,100,0.4537037037037037,0.5
990.0,100,0.4541284403669725,0.5
1000.0,100,0.45454545454545453,0.5
