wine,alcohol,color_intensity,flavanoids,od280_od315_ratio,proline_malic_acid_ratio
wine_0,14.23,5.64,3.06,3.92,622.8070175438596
wine_0,13.2,4.38,2.76,3.4,589.8876404494382
wine_0,13.16,5.68,3.24,3.17,502.11864406779665
wine_0,14.37,7.8,3.49,3.45,758.974358974359
wine_0,13.24,4.32,2.69,2.93,283.7837837837838
wine_0,14.2,6.75,3.39,2.85,823.8636363636364
wine_0,14.39,5.25,2.52,3.58,689.8395721925133
wine_0,14.06,5.05,2.51,3.58,602.3255813953489
wine_0,14.83,5.2,2.98,2.85,637.1951219512196
wine_0,13.86,7.22,3.15,3.55,774.074074074074
wine_0,14.1,5.75,3.32,3.17,699.074074074074
wine_0,14.12,5.0,2.43,2.82,864.8648648648649
wine_0,13.75,5.6,2.76,2.9,763.0057803468209
wine_0,14.75,5.4,3.69,2.73,664.7398843930636
wine_0,14.38,7.5,3.64,3.0,827.2727272727273
wine_0,13.63,7.3,2.91,2.88,723.756906077348
wine_0,14.3,6.2,3.14,2.65,666.6666666666667
wine_0,13.83,6.6,3.4,2.57,719.7452229299363
wine_0,14.19,8.7,3.93,2.82,1056.6037735849056
wine_0,13.64,5.1,3.03,3.36,272.5806451612903
wine_0,14.06,5.65,3.17,3.71,478.52760736196325
wine_0,12.93,4.5,2.41,3.52,202.63157894736844
wine_0,13.71,3.8,2.88,4.0,556.4516129032257
wine_0,12.85,3.93,2.37,3.63,634.375
wine_0,13.5,3.52,2.61,3.82,466.8508287292818
wine_0,13.05,3.58,2.68,3.2,404.87804878048786
wine_0,13.39,4.8,2.94,3.22,675.1412429378531
wine_0,13.3,3.95,2.19,2.77,747.0930232558139
wine_0,13.87,4.5,2.97,3.4,481.5789473684211
wine_0,14.02,4.7,2.33,3.59,616.0714285714286
wine_0,13.73,5.7,3.25,2.71,856.6666666666666
wine_0,13.58,6.9,3.19,2.88,912.6506024096386
wine_0,13.68,3.84,2.69,2.87,540.983606557377
wine_0,13.76,5.4,2.74,3.0,807.1895424836601
wine_0,13.51,4.2,2.53,2.87,608.3333333333334
wine_0,13.48,5.1,2.98,3.47,508.28729281767954
wine_0,13.28,4.6,2.68,2.78,536.5853658536586
wine_0,13.05,4.25,2.43,2.51,669.6969696969697
wine_0,13.07,3.7,2.64,2.69,680.0
wine_0,14.22,5.1,3.04,3.53,190.47619047619045
wine_0,13.56,6.13,3.29,3.38,464.9122807017544
wine_0,13.41,4.28,2.68,3.0,269.53125
wine_0,13.88,5.43,3.56,3.56,579.3650793650794
wine_0,13.24,4.36,2.63,3.0,170.85427135678393
wine_0,13.05,5.04,3.0,3.35,500.0
wine_0,14.21,5.24,2.65,3.33,267.3267326732673
wine_0,14.38,4.9,3.17,3.44,296.6573816155989
wine_0,13.9,6.1,3.39,3.33,586.3095238095239
wine_0,14.1,6.2,2.92,2.75,524.7524752475248
wine_0,13.94,8.9,3.54,3.1,728.3236994219653
wine_0,13.05,7.2,3.27,2.91,664.7398843930636
wine_0,13.83,5.6,2.99,3.37,766.6666666666667
wine_0,13.82,7.05,3.74,3.26,680.0
wine_0,13.77,6.3,2.79,2.93,723.6842105263158
wine_0,13.74,5.85,2.9,3.2,634.7305389221557
wine_0,13.56,6.25,2.78,3.03,647.3988439306358
wine_0,14.22,6.38,3.0,3.31,570.5882352941177
wine_0,13.29,6.0,3.23,2.84,644.6700507614213
wine_0,13.72,6.8,3.67,2.87,898.6013986013986
wine_1,12.37,1.95,0.57,1.82,553.1914893617021
wine_1,12.33,3.27,1.09,1.67,618.1818181818181
wine_1,12.64,5.75,1.41,1.59,330.88235294117646
wine_1,13.67,3.8,1.79,2.46,504.0
wine_1,12.37,4.45,3.1,2.87,371.6814159292036
wine_1,12.17,2.95,1.75,2.23,244.82758620689657
wine_1,12.37,4.6,2.65,2.3,560.3305785123968
wine_1,13.11,5.3,3.18,3.18,497.029702970297
wine_1,12.37,4.68,2.0,3.48,435.8974358974359
wine_1,13.34,3.17,1.3,1.93,797.872340425532
wine_1,12.21,2.85,1.28,3.07,603.3613445378152
wine_1,12.29,3.05,1.02,1.82,540.3726708074533
wine_1,13.86,3.38,2.86,3.16,271.52317880794703
wine_1,13.49,3.74,1.84,2.78,284.3373493975904
wine_1,12.99,3.35,2.89,3.5,589.8203592814372
wine_1,11.96,3.21,2.14,3.13,812.8440366972477
wine_1,11.66,3.8,1.57,2.14,227.6595744680851
wine_1,13.03,4.6,2.03,2.48,435.55555555555554
wine_1,11.84,2.65,1.32,2.52,173.01038062283737
wine_1,12.33,3.4,1.85,2.31,757.5757575757576
wine_1,12.7,2.57,2.55,3.13,119.63824289405684
wine_1,12.0,2.5,2.26,3.12,302.17391304347825
wine_1,12.72,3.9,2.53,3.14,394.47513812154693
wine_1,12.08,2.2,1.58,2.72,557.5221238938053
wine_1,13.05,4.8,1.59,2.01,133.41968911917098
wine_1,11.84,3.05,2.21,3.08,584.2696629213483
wine_1,12.67,2.62,1.94,3.16,459.18367346938777
wine_1,12.16,2.45,1.69,2.26,307.4534161490683
wine_1,11.65,2.6,1.61,3.21,336.52694610778445
wine_1,11.64,2.8,1.69,2.75,330.09708737864077
wine_1,12.08,1.74,1.59,3.21,469.92481203007515
wine_1,12.08,2.4,1.5,2.27,262.2950819672131
wine_1,12.0,3.6,1.25,2.65,298.0132450331126
wine_1,12.69,3.05,1.46,2.06,323.52941176470586
wine_1,12.29,2.15,2.25,3.3,102.47349823321555
wine_1,11.62,3.25,2.26,2.96,173.36683417085428
wine_1,12.47,2.6,2.27,2.63,616.4473684210526
wine_1,11.81,2.5,0.99,2.26,294.811320754717
wine_1,12.29,2.9,2.5,2.74,303.54609929078015
wine_1,12.37,4.5,3.75,2.77,616.822429906542
wine_1,12.29,2.3,2.99,2.83,128.07570977917982
wine_1,12.08,3.3,2.17,2.96,341.3461538461538
wine_1,12.6,2.45,1.36,2.77,419.4029850746268
