Time [d],pH,Temperature [C],Agitation Rate [rpm],Protein Yield [mg/L]
10.0,7.2,37.0,105.0,514.0
9.0,7.1,37.0,98.0,481.0
11.0,6.8,37.0,95.0,505.0
10.0,6.9,37.0,99.0,464.0
9.0,7.1,36.0,97.0,433.0
10.0,7.0,36.0,95.0,512.0
12.0,7.0,36.0,102.0,515.0
11.0,7.1,37.0,103.0,541.0
8.0,7.1,36.0,98.0,449.0
7.0,6.9,36.0,102.0,433.0
8.0,7.0,36.0,98.0,526.0
10.0,7.0,36.0,100.0,503.0
5.0,6.9,36.0,100.0,387.0
9.0,7.0,36.0,106.0,486.0
7.0,7.2,36.0,102.0,407.0
8.0,6.9,36.0,96.0,501.0
9.0,7.2,37.0,102.0,495.0
9.0,7.2,37.0,99.0,471.0
10.0,6.8,37.0,98.0,523.0
11.0,7.0,37.0,97.0,527.0
9.0,7.0,36.0,100.0,503.0
12.0,6.9,37.0,100.0,525.0
8.0,6.9,36.0,98.0,477.0
10.0,7.0,36.0,94.0,552.0
11.0,7.1,37.0,93.0,550.0
10.0,6.9,37.0,101.0,488.0
8.0,7.2,36.0,101.0,490.0
8.0,7.0,36.0,109.0,507.0
9.0,7.0,37.0,99.0,497.0
10.0,7.2,36.0,104.0,510.0
8.0,7.1,37.0,105.0,434.0
9.0,7.0,36.0,100.0,502.0
9.0,7.0,36.0,100.0,541.0
10.0,7.2,37.0,98.0,472.0
10.0,7.1,37.0,107.0,533.0
10.0,7.0,36.0,94.0,518.0
8.0,6.8,37.0,100.0,508.0
9.0,7.0,37.0,106.0,491.0
11.0,6.9,36.0,100.0,478.0
12.0,6.8,37.0,98.0,612.0
7.0,7.0,37.0,101.0,413.0
12.0,7.0,36.0,102.0,583.0
12.0,7.2,36.0,102.0,553.0
11.0,7.0,37.0,101.0,533.0
10.0,7.1,36.0,103.0,514.0
9.0,6.9,35.0,104.0,470.0
12.0,7.0,37.0,96.0,567.0
13.0,7.0,37.0,98.0,592.0
